"filename", "language", "TypeScript JSX", "CSS", "TypeScript", "JSON with Comments", "Markdown", "JavaScript", "JSON", "XML", "comment", "blank", "total"
"c:\Users\tarik\OneDrive\Documents\GitHub\td-td-dashboard\td-dashboard-main\td\.eslintrc.json", "JSON with Comments", 0, 0, 0, -3, 0, 0, 0, 0, 0, -1, -4
"c:\Users\tarik\OneDrive\Documents\GitHub\td-td-dashboard\td-dashboard-main\td\README.md", "Markdown", 0, 0, 0, 0, -21, 0, 0, 0, 0, -14, -35
"c:\Users\tarik\OneDrive\Documents\GitHub\td-td-dashboard\td-dashboard-main\td\app\api\scrape\route.ts", "TypeScript", 0, 0, -29, 0, 0, 0, 0, 0, 0, -3, -32
"c:\Users\tarik\OneDrive\Documents\GitHub\td-td-dashboard\td-dashboard-main\td\app\api\trades\[apiKey]\route.ts", "TypeScript", 0, 0, 37, 0, 0, 0, 0, 0, -1, 3, 39
"c:\Users\tarik\OneDrive\Documents\GitHub\td-td-dashboard\td-dashboard-main\td\app\appwrite\useUser.tsx", "TypeScript JSX", 96, 0, 0, 0, 0, 0, 0, 0, -11, 4, 89
"c:\Users\tarik\OneDrive\Documents\GitHub\td-td-dashboard\td-dashboard-main\td\app\components\Auth\SignInCard.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, -1, 1, 0
"c:\Users\tarik\OneDrive\Documents\GitHub\td-td-dashboard\td-dashboard-main\td\app\components\demo\BookmarksTab.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, -2, 0, -2
"c:\Users\tarik\OneDrive\Documents\GitHub\td-td-dashboard\td-dashboard-main\td\app\components\demo\Documents.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, -1, 1, 0
"c:\Users\tarik\OneDrive\Documents\GitHub\td-td-dashboard\td-dashboard-main\td\app\components\demo\WebScrapeComponent.tsx", "TypeScript JSX", -36, 0, 0, 0, 0, 0, 0, 0, -1, -6, -43
"c:\Users\tarik\OneDrive\Documents\GitHub\td-td-dashboard\td-dashboard-main\td\app\components\tabs\HomeTab.tsx", "TypeScript JSX", -103, 0, 0, 0, 0, 0, 0, 0, 0, 1, -102
"c:\Users\tarik\OneDrive\Documents\GitHub\td-td-dashboard\td-dashboard-main\td\app\components\themeToggle.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, -1, 0, -1
