"filename", "language", "JavaScript", "JSON", "JSON with Comments", "TypeScript JSX", "TypeScript", "XML", "Markdown", "CSS", "comment", "blank", "total"
"c:\Users\tarik\OneDrive\Documents\GitHub\td-td-dashboard\td-dashboard-main\td\.eslintrc.json", "JSON with Comments", 0, 0, 3, 0, 0, 0, 0, 0, 0, 1, 4
"c:\Users\tarik\OneDrive\Documents\GitHub\td-td-dashboard\td-dashboard-main\td\README.md", "Markdown", 0, 0, 0, 0, 0, 0, 21, 0, 0, 14, 35
"c:\Users\tarik\OneDrive\Documents\GitHub\td-td-dashboard\td-dashboard-main\td\app\about\page.tsx", "TypeScript JSX", 0, 0, 0, -50, 0, 0, 0, 0, 0, 1, -49
"c:\Users\tarik\OneDrive\Documents\GitHub\td-td-dashboard\td-dashboard-main\td\app\api\bookmarks\[url]\route.ts", "TypeScript", 0, 0, 0, 0, 61, 0, 0, 0, 0, 10, 71
"c:\Users\tarik\OneDrive\Documents\GitHub\td-td-dashboard\td-dashboard-main\td\app\api\news\route.ts", "TypeScript", 0, 0, 0, 0, 50, 0, 0, 0, 0, 6, 56
"c:\Users\tarik\OneDrive\Documents\GitHub\td-td-dashboard\td-dashboard-main\td\app\appwrite\services\MDXDocumentService.tsx", "TypeScript JSX", 0, 0, 0, 131, 0, 0, 0, 0, 0, 9, 140
"c:\Users\tarik\OneDrive\Documents\GitHub\td-td-dashboard\td-dashboard-main\td\app\appwrite\services\NewsService.tsx", "TypeScript JSX", 0, 0, 0, 216, 0, 0, 0, 0, 0, 9, 225
"c:\Users\tarik\OneDrive\Documents\GitHub\td-td-dashboard\td-dashboard-main\td\app\appwrite\services\bookmarksService.tsx", "TypeScript JSX", 0, 0, 0, 89, 0, 0, 0, 0, 0, 5, 94
"c:\Users\tarik\OneDrive\Documents\GitHub\td-td-dashboard\td-dashboard-main\td\app\appwrite\services\taskService.tsx", "TypeScript JSX", 0, 0, 0, 122, 0, 0, 0, 0, 0, 6, 128
"c:\Users\tarik\OneDrive\Documents\GitHub\td-td-dashboard\td-dashboard-main\td\app\appwrite\services\tradingAccountService.tsx", "TypeScript JSX", 0, 0, 0, 316, 0, 0, 0, 0, 1, 14, 331
"c:\Users\tarik\OneDrive\Documents\GitHub\td-td-dashboard\td-dashboard-main\td\app\appwrite\services\userService.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, -1, -1
"c:\Users\tarik\OneDrive\Documents\GitHub\td-td-dashboard\td-dashboard-main\td\app\appwrite\useUser.tsx", "TypeScript JSX", 0, 0, 0, -320, 0, 0, 0, 0, -7, -31, -358
"c:\Users\tarik\OneDrive\Documents\GitHub\td-td-dashboard\td-dashboard-main\td\app\components\Auth\SignInCard.tsx", "TypeScript JSX", 0, 0, 0, -8, 0, 0, 0, 0, 0, -1, -9
"c:\Users\tarik\OneDrive\Documents\GitHub\td-td-dashboard\td-dashboard-main\td\app\components\Auth\test.tsx", "TypeScript JSX", 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 3
