"filename", "language", "TypeScript JSX", "TypeScript", "CSS", "JSON", "comment", "blank", "total"
"c:\Users\tarik\OneDrive\Documents\GitHub\td-td-dashboard\td-dashboard-main\td\app\about\page.tsx", "TypeScript JSX", 77, 0, 0, 0, 0, 5, 82
"c:\Users\tarik\OneDrive\Documents\GitHub\td-td-dashboard\td-dashboard-main\td\app\api\bookmarks\[url]\route.ts", "TypeScript", 0, 61, 0, 0, 0, 10, 71
"c:\Users\tarik\OneDrive\Documents\GitHub\td-td-dashboard\td-dashboard-main\td\app\api\news\route.ts", "TypeScript", 0, 50, 0, 0, 0, 6, 56
"c:\Users\tarik\OneDrive\Documents\GitHub\td-td-dashboard\td-dashboard-main\td\app\api\trades\[apiKey]\route.ts", "TypeScript", 0, 104, 0, 0, 0, 14, 118
"c:\Users\tarik\OneDrive\Documents\GitHub\td-td-dashboard\td-dashboard-main\td\app\appwrite\appwrite.tsx", "TypeScript JSX", 11, 0, 0, 0, 0, 6, 17
"c:\Users\tarik\OneDrive\Documents\GitHub\td-td-dashboard\td-dashboard-main\td\app\appwrite\services\MDXDocumentService.tsx", "TypeScript JSX", 131, 0, 0, 0, 0, 9, 140
"c:\Users\tarik\OneDrive\Documents\GitHub\td-td-dashboard\td-dashboard-main\td\app\appwrite\services\NewsService.tsx", "TypeScript JSX", 216, 0, 0, 0, 0, 9, 225
"c:\Users\tarik\OneDrive\Documents\GitHub\td-td-dashboard\td-dashboard-main\td\app\appwrite\services\bookmarksService.tsx", "TypeScript JSX", 89, 0, 0, 0, 0, 5, 94
"c:\Users\tarik\OneDrive\Documents\GitHub\td-td-dashboard\td-dashboard-main\td\app\appwrite\services\taskService.tsx", "TypeScript JSX", 122, 0, 0, 0, 0, 7, 129
"c:\Users\tarik\OneDrive\Documents\GitHub\td-td-dashboard\td-dashboard-main\td\app\appwrite\services\tradingAccountService.tsx", "TypeScript JSX", 316, 0, 0, 0, 1, 14, 331
"c:\Users\tarik\OneDrive\Documents\GitHub\td-td-dashboard\td-dashboard-main\td\app\appwrite\useUser.tsx", "TypeScript JSX", 232, 0, 0, 0, 0, 15, 247
"c:\Users\tarik\OneDrive\Documents\GitHub\td-td-dashboard\td-dashboard-main\td\app\components\Auth\SignInCard.tsx", "TypeScript JSX", 108, 0, 0, 0, 0, 7, 115
"c:\Users\tarik\OneDrive\Documents\GitHub\td-td-dashboard\td-dashboard-main\td\app\components\Auth\SignUpCard.tsx", "TypeScript JSX", 168, 0, 0, 0, 0, 9, 177
"c:\Users\tarik\OneDrive\Documents\GitHub\td-td-dashboard\td-dashboard-main\td\app\components\Auth\countries.json", "JSON", 0, 0, 0, 962, 0, 1, 963
"c:\Users\tarik\OneDrive\Documents\GitHub\td-td-dashboard\td-dashboard-main\td\app\components\Auth\test.tsx", "TypeScript JSX", 67, 0, 0, 0, 0, 3, 70
"c:\Users\tarik\OneDrive\Documents\GitHub\td-td-dashboard\td-dashboard-main\td\app\components\Auth\utils.ts", "TypeScript", 0, 3, 0, 0, 0, 1, 4
"c:\Users\tarik\OneDrive\Documents\GitHub\td-td-dashboard\td-dashboard-main\td\app\components\demo\bookmarks\BookmarkCreate.tsx", "TypeScript JSX", 356, 0, 0, 0, 0, 16, 372
"c:\Users\tarik\OneDrive\Documents\GitHub\td-td-dashboard\td-dashboard-main\td\app\components\demo\bookmarks\BookmarkViewer.tsx", "TypeScript JSX", 42, 0, 0, 0, 0, 9, 51
"c:\Users\tarik\OneDrive\Documents\GitHub\td-td-dashboard\td-dashboard-main\td\app\components\demo\bookmarks\table\columns.tsx", "TypeScript JSX", 68, 0, 0, 0, 0, 3, 71
"c:\Users\tarik\OneDrive\Documents\GitHub\td-td-dashboard\td-dashboard-main\td\app\components\demo\bookmarks\table\date-table.tsx", "TypeScript JSX", 202, 0, 0, 0, 0, 3, 205
"c:\Users\tarik\OneDrive\Documents\GitHub\td-td-dashboard\td-dashboard-main\td\app\components\demo\documents\Documents.tsx", "TypeScript JSX", 222, 0, 0, 0, 0, 18, 240
"c:\Users\tarik\OneDrive\Documents\GitHub\td-td-dashboard\td-dashboard-main\td\app\components\demo\documents\MarkdownEditor.tsx", "TypeScript JSX", 114, 0, 0, 0, 0, 8, 122
"c:\Users\tarik\OneDrive\Documents\GitHub\td-td-dashboard\td-dashboard-main\td\app\components\demo\documents\editor.css", "CSS", 0, 0, 54, 0, 0, 8, 62
"c:\Users\tarik\OneDrive\Documents\GitHub\td-td-dashboard\td-dashboard-main\td\app\components\demo\news\CountryPieChart.tsx", "TypeScript JSX", 108, 0, 0, 0, 0, 10, 118
"c:\Users\tarik\OneDrive\Documents\GitHub\td-td-dashboard\td-dashboard-main\td\app\components\demo\news\DailyHighImpact.tsx", "TypeScript JSX", 106, 0, 0, 0, 0, 9, 115
"c:\Users\tarik\OneDrive\Documents\GitHub\td-td-dashboard\td-dashboard-main\td\app\components\demo\news\NewsComponent.tsx", "TypeScript JSX", 141, 0, 0, 0, 17, 8, 166
"c:\Users\tarik\OneDrive\Documents\GitHub\td-td-dashboard\td-dashboard-main\td\app\components\demo\news\RefreshNewsContext.tsx", "TypeScript JSX", 2, 0, 0, 0, 0, 2, 4
"c:\Users\tarik\OneDrive\Documents\GitHub\td-td-dashboard\td-dashboard-main\td\app\components\demo\news\parentComponent.tsx", "TypeScript JSX", 47, 0, 0, 0, 0, 8, 55
"c:\Users\tarik\OneDrive\Documents\GitHub\td-td-dashboard\td-dashboard-main\td\app\components\demo\news\table\columns.tsx", "TypeScript JSX", 240, 0, 0, 0, 0, 26, 266
"c:\Users\tarik\OneDrive\Documents\GitHub\td-td-dashboard\td-dashboard-main\td\app\components\demo\news\table\data-table.tsx", "TypeScript JSX", 224, 0, 0, 0, 2, 12, 238
"c:\Users\tarik\OneDrive\Documents\GitHub\td-td-dashboard\td-dashboard-main\td\app\components\demo\news\types.ts", "TypeScript", 0, 10, 0, 0, 0, 2, 12
